"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"AO-348","Feature","","Networking - Discovery - AT&T Last-Mile Sites","New","","","","","","","dark_teal"
"AO-354","Feature","","Networking - Discovery - Label Customer Sites: Function(s), User(s); Auto-Label: State, City, Connection-Type","New","","","","","","","dark_teal"
"AO-349","Feature","","Networking - Discovery - AT&T Cloud Fabric","New","","","","","","","dark_teal"
"AO-350","Feature","","Networking - Discovery - AT&T-Managed VPCs","New","","","","","","","dark_teal"
"AO-351","Feature","","Networking - Discovery - Customer-Managed VPCs","New","","","","","","","dark_teal"
"AO-353","Feature","","Networking - Discovery - Label Cloud Assets: Function(s), User(s); Auto-Label: Cloud-Provider, Region, Resource-Type, Connction-Type","New","","","","","","","dark_teal"
"AO-352","Feature","","Networking - Observability - Visualize Top Traffic-Streams","New","","","","","","","dark_teal"
"AO-363","Feature","","Networking - Observability - Visualize Connection KPIs: Throughput, Utilization, Latency, Loss","New","","","","","","","dark_teal"
"AO-355","Feature","","Networking - Observability - Show Customer-Sites Overalls","New","","","","","","","dark_teal"
"AO-356","Feature","","Networking - Observability - Show Customer-Cloud Overalls","New","","","","","","","dark_teal"
"AO-357","Feature","","Networking - Govern - Setup Traffic-Stream Rules","New","","","","","","","dark_teal"
"AO-358","Feature","","Networking - Govern - Setup Service-Insertion Options","New","","","","","","","dark_teal"
"AO-359","Feature","","Networking - Observability - Show Customer-Sites Costs","New","","","","","","","dark_teal"
"AO-360","Feature","","Networking - Observability - Show AT&T-Cloud Costs","New","","","","","","","dark_teal"
"AO-361","Feature","","Networking - Observability - Add Customer-Cloud Cost Estimator","New","","","","","","","dark_teal"
"AO-366","Feature","","Networking - Connectivity - Setup Customer-Cloud Connections with NetBond Advance","New","","","","","","","dark_teal"
"AO-362","Feature","","Networking - Observability - Identify New Customer Sites/Cloud-Resources for Labeling and Governence","New","","","","","","","dark_teal"
"AO-364","Feature","","Networking - Observability - Optimization Suggestions","New","","","","","","","dark_teal"
"AO-365","Feature","","Networking - Govern - Policy Optimization Setup and Enforcement","New","","","","","","","dark_teal"
